"Title","Description","Series","M","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","TestStatistic","EffectSize","NullProportion","InformativeCovariate","RDataClass","DispatchClass","BiocVersion","Maintainer","RDataPath"
"h3k4me3-promoters-benchmark","Differential peak calling in human H3K4me3 ChIP-seq data from ENCODE using predefined regions with mean coverage as covariate","ChIP-seq",118171,"hg18","BAM","http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k4me3StdAlnRep1.bam http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k04me3StdAlnRep2V2.bam http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k4me3StdAlnRep1.bam http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k4me3StdAlnRep2.bam","Release 3 (Aug 2012)","Homo sapiens","9606","FALSE","ENCODE","DESeq2",NA,NA,"Mean coverage","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/ChIP-seq/h3k4me3-promoters-benchmark.rds"
"h3k4me3-csaw-benchmark","Differential peak calling in human H3K4me3 ChIP-seq data from ENCODE using csaw with region width as covariate","ChIP-seq",118171,"hg18","BAM","http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k4me3StdAlnRep1.bam http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k04me3StdAlnRep2V2.bam http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k4me3StdAlnRep1.bam http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k4me3StdAlnRep2.bam","Release 3 (Aug 2012)","Homo sapiens","9606","FALSE","ENCODE","csaw",NA,NA,"Region width","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/ChIP-seq/h3k4me3-csaw-benchmark.rds"
"h3k4me3-csaw-uninf-benchmark","Differential peak calling in human H3K4me3 ChIP-seq data from ENCODE using csaw with uninformative covariate","ChIP-seq",118171,"hg18","BAM","http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k4me3StdAlnRep1.bam http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k04me3StdAlnRep2V2.bam http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k4me3StdAlnRep1.bam http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k4me3StdAlnRep2.bam","Release 3 (Aug 2012)","Homo sapiens","9606","FALSE","ENCODE","csaw",NA,NA,"Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/ChIP-seq/h3k4me3-csaw-uninf-benchmark.rds"
"h3k4me3-csaw-cov-benchmark","Differential peak calling in human H3K4me3 ChIP-seq data from ENCODE using csaw with mean coverage as covariate","ChIP-seq",118171,"hg18","BAM","http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k4me3StdAlnRep1.bam http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k04me3StdAlnRep2V2.bam http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k4me3StdAlnRep1.bam http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneK562H3k4me3StdAlnRep2.bam","Release 3 (Aug 2012)","Homo sapiens","9606","FALSE","ENCODE","csaw",NA,NA,"Mean coverage","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/ChIP-seq/h3k4me3-csaw-cov-benchmark.rds"
"cbp-csaw-benchmark","Differential peak calling in CREB-binding protein (CBP) knockout and wild-type mice using csaw with region width as covariate","ChIP-seq",59596,"mm10","FASTQ","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/007/SRR1145787/SRR1145787.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/008/SRR1145788/SRR1145788.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/009/SRR1145789/SRR1145789.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/000/SRR1145790/SRR1145790.fastq.gz",NA,"Mus musculus","10090",NA,"Biochemistry, St Jude Children's Research Hospital","csaw",NA,NA,"Region width","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/ChIP-seq/cbp-csaw-benchmark.rds"
"cbp-csaw-uninf-benchmark","Differential peak calling in CREB-binding protein (CBP) knockout and wild-type mice using csaw with uninformative covariate","ChIP-seq",59596,"mm10","FASTQ","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/007/SRR1145787/SRR1145787.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/008/SRR1145788/SRR1145788.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/009/SRR1145789/SRR1145789.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/000/SRR1145790/SRR1145790.fastq.gz",NA,"Mus musculus","10090",NA,"Biochemistry, St Jude Children's Research Hospital","csaw",NA,NA,"Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/ChIP-seq/cbp-csaw-uninf-benchmark.rds"
"cbp-csaw-cov-benchmark","Differential peak calling in CREB-binding protein (CBP) knockout and wild-type mice using csaw with mean coverage as covariate","ChIP-seq",59596,"mm10","FASTQ","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/007/SRR1145787/SRR1145787.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/008/SRR1145788/SRR1145788.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/009/SRR1145789/SRR1145789.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/000/SRR1145790/SRR1145790.fastq.gz",NA,"Mus musculus","10090",NA,"Biochemistry, St Jude Children's Research Hospital","csaw",NA,NA,"Mean coverage","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/ChIP-seq/cbp-csaw-cov-benchmark.rds"
"mouse-benchmark","Gene set analysis of mouse dataset using GSEA with gene set size as covariate","GSA",6396,"GRCm38","FASTQ","https://doi.org/10.5281/zenodo.1475409","md5:c25141558ff5313a87a4ec7539279b84","Mus musculus","10090",NA,"ArrayExpress","Enrichment Score",NA,NA,"Gene set size","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/GSA/mouse-benchmark.rds"
"mouse-uninf-benchmark","Gene set analysis of mouse dataset using GSEA with uninformative covariate","GSA",6396,"GRCm38","FASTQ","https://doi.org/10.5281/zenodo.1475409","md5:c25141558ff5313a87a4ec7539279b84","Mus musculus","10090",NA,"ArrayExpress","Enrichment Score",NA,NA,"Uninformative","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/GSA/mouse-uninf-benchmark.rds"
"human-benchmark","Gene set analysis of human dataset using GSEA with gene set size as covariate","GSA",6783,"GRCh38","FASTQ","https://doi.org/10.5281/zenodo.1475409","md5:28508f1b03d6cfef75a7b537b7f186b6","Homo sapiens","9606",NA,"Genotype-Tissue Expression Project (GETx)","Enrichment Score",NA,NA,"Gene set size","SummarizedBenchmark","Rds","3.10","Keegan Korthauer <kdkorthauer@gmail.com>","benchmarkfdrData2019/v1.0.0/GSA/human-benchmark.rds"
